pdb_id,model_number,plddt,cdr1a_plddt,cdr1b_plddt,cdr2a_plddt,cdr2b_plddt,cdr3a_plddt,cdr3b_plddt,iptm_mean,iptm_tcrpmhc,pdockq,avgipde_a,avgipde_b,avgipae_a,avgipae_b,pdockq2_a,pdockq2_b,seed,ipsae,ipsae_d0chn,iptm_af,ipsae_d0dom,iptm_d0chn,seed,sample,ranking_score,iRMSD,TCR-iRMSD,Peptide-RMSD,MHC-iRMSD,CDR3a-RMSD,CDR3b-RMSD,DockQ,iRMSD-DockQ,lRMSD-DockQ,Fnat,Clashes,Quality,avgpdockq2,avgipae,avgipde
5wlg,2,89.52369926199262,78.3635,82.22741935483872,71.43765624999999,84.01260869565218,83.64613636363637,79.96769230769232,0.756,0.74,0.366,0.8917338282672376,0.8122371894420286,0.655,0.655,0.5598933929596364,0.2211559578650361,614775327,0.4993222499999999,0.7251725,0.74,0.71812375,0.71812375,614775327,2,0.8214144162730506,1.6747702,2.943662,0.950787,1.0204188,4.979459,1.962638,0.562,1.688,7.583,0.688,0,MQ,0.39052467541233626,0.655,0.8519855088546331
5wlg,4,89.58865006150062,78.941,82.48564516129031,73.45359375000001,82.88347826086957,83.04045454545457,76.62802197802198,0.758,0.7424999999999999,0.415,0.8560618493455925,0.7511975224087223,0.5572916666666666,0.5572916666666666,0.4703850719350912,0.1359591818128602,614775327,0.5108925,0.72994125,0.7424999999999999,0.72473125,0.72473125,614775327,4,0.8234655828424634,2.370284,4.353195,1.0710722,1.2730781,4.370482,5.8761983,0.447,2.427,8.735,0.578,1,AQ,0.3031721268739757,0.5572916666666666,0.8036296858771574
5wlg,3,89.3958471709717,78.20875000000001,82.58241935483869,69.69437500000001,83.2491304347826,82.9015909090909,78.56989010989011,0.754,0.7375,0.316,0.8825786973367615,0.7846145521549232,0.6778787878787877,0.6778787878787879,0.5341176991929765,0.1764745714017301,614775327,0.4987335,0.726145,0.7375,0.719108,0.719108,614775327,3,0.8238550441345329,1.7401959,3.0317788,0.88426566,1.094599,4.5624466,1.9681346,0.576,1.857,6.302,0.688,0,MQ,0.35529613529735327,0.6778787878787877,0.8335966247458424
5wlg,1,89.5116835793358,78.89325,83.12709677419356,70.28375,84.71695652173914,84.33068181818182,81.39758241758243,0.7619999999999999,0.7475,0.355,0.8991199352606064,0.8185296846156463,0.6993548387096773,0.6993548387096774,0.5788946298401269,0.2441974063046489,614775327,0.516645,0.7384820000000001,0.7475,0.73336475,0.73336475,614775327,1,0.8269375527338962,1.3711576,2.2542655,0.8034112,0.9675504,2.6641045,1.3878449,0.623,1.542,5.633,0.688,0,MQ,0.4115460180723879,0.6993548387096773,0.8588248099381264
5wlg,0,89.39209409594096,78.275,82.27774193548389,70.73906249999999,82.99065217391305,82.61363636363636,78.34043956043958,0.746,0.73,0.362,0.8885231799648472,0.800653976063236,0.6292105263157893,0.6292105263157894,0.5483493378189565,0.2017545081558185,614775327,0.4858099999999999,0.71969325,0.73,0.70994125,0.70994125,614775327,0,0.8168824376110461,1.9297708,3.35178,1.1652439,1.2069999,4.7153873,2.1638255,0.541,2.085,6.795,0.672,1,MQ,0.3750519229873875,0.6292105263157894,0.8445885780140416
4mji,2,91.71796477794794,92.7564864864865,91.84129032258063,92.40292682926828,94.074375,94.41325,94.37013888888887,0.866,0.88,0.622,0.9772792399326776,0.9675644594616668,0.8593103448275862,0.8593103448275862,0.8860735672621464,0.8288519342615027,2086430921,0.698388,0.87845925,0.88,0.87845925,0.87845925,2086430921,2,0.9122633612680326,1.1304051,1.8754109,1.6213183,0.7376347,1.3230038,1.4847614,0.771,1.123,1.81,0.716,0,MQ,0.8574627507618245,0.8593103448275862,0.9724218496971722
4mji,3,91.76344410413476,92.44567567567567,91.54435483870968,91.89841463414632,94.61125,94.6805,94.50708333333334,0.86,0.87,0.618,0.9772183779073416,0.9672177498001736,0.8859259259259259,0.885925925925926,0.8880662550500007,0.8282291549907059,2086430921,0.6884755,0.872929,0.87,0.872929,0.872929,2086430921,3,0.90690042153814,1.1215476,1.8333035,1.6110938,0.7500629,1.3177005,1.2779872,0.77,1.106,2.028,0.716,0,MQ,0.8581477050203533,0.885925925925926,0.9722180638537576
4mji,4,91.69706278713628,92.34837837837836,91.60580645161288,91.65048780487804,94.519375,94.634,94.40583333333332,0.8619999999999999,0.8725,0.613,0.9773884517965544,0.9670986323980162,0.8847169811320755,0.8847169811320755,0.8861998197669214,0.8238717329772912,2086430921,0.68864025,0.87506675,0.8725,0.87506675,0.87506675,2086430921,4,0.9085645171631842,1.1235955,1.8715348,1.607487,0.7288069,1.3245258,1.4228886,0.759,1.126,2.693,0.727,0,MQ,0.8550357763721064,0.8847169811320755,0.9722435420972853
4mji,1,91.6911148545176,92.13297297297298,91.23016129032256,91.60719512195122,94.4909375,94.56475,94.38916666666668,0.86,0.87,0.622,0.9762667862354528,0.9649927596387996,0.8618644067796608,0.861864406779661,0.88230143910514,0.8158407866672946,2086430921,0.6834432500000001,0.87218175,0.87,0.87218175,0.87218175,2086430921,1,0.9077569011630068,1.1067629,1.8512136,1.6094718,0.707178,1.3616079,1.4051559,0.757,1.15,2.596,0.727,0,MQ,0.8490711128862174,0.8618644067796609,0.9706297729371263
4mji,0,91.9702986217458,92.7937837837838,91.68806451612905,92.47475609756098,94.7371875,94.81775,94.74638888888887,0.8640000000000001,0.88,0.621,0.9787803973357756,0.9709489700009016,0.88875,0.8887499999999999,0.8934403112284177,0.8442355809952918,2086430921,0.6952645,0.87903425,0.88,0.87903425,0.87903425,2086430921,0,0.91146494823156,1.1464458,1.8830303,1.6160946,0.76653534,1.3269018,1.3524021,0.768,1.138,2.1,0.727,0,MQ,0.8688379461118547,0.8887499999999999,0.9748646836683386
6r2l,3,93.1714951164538,92.6454054054054,95.5,93.16622448979592,93.23682926829268,96.5659090909091,97.28914893617024,0.8720000000000001,0.89,0.653,0.982989032177524,0.9763421694429232,0.8542424242424242,0.8542424242424244,0.9337870442504403,0.8863896623467381,3510126958,0.74640325,0.89271275,0.89,0.89271275,0.89271275,3510126958,3,0.9217060514271254,0.86349064,1.1752435,0.88501644,0.72746235,1.0156509,1.0262287,0.874,0.624,2.435,0.846,0,HQ,0.9100883532985893,0.8542424242424242,0.9796656008102236
6r2l,4,93.2961728024042,92.89351351351353,95.34589743589744,93.8727551020408,93.19585365853658,96.89113636363636,97.36893617021276,0.874,0.89,0.65,0.9831672490645108,0.9763554728357572,0.8195714285714287,0.8195714285714287,0.9357467095137898,0.8913318457346644,3510126958,0.7468205,0.8929915,0.89,0.8929915,0.8929915,3510126958,4,0.922217324280351,1.0408005,1.7280543,0.8326808,0.69821614,0.8047836,1.0494075,0.862,0.801,2.553,0.89,0,HQ,0.913539277624227,0.8195714285714287,0.979761360950134
6r2l,2,93.18412171299774,92.75243243243244,95.12589743589744,93.4669387755102,92.99658536585366,96.5968181818182,97.21446808510636,0.868,0.8825000000000001,0.651,0.9823568476010666,0.975394749493921,0.831449275362319,0.831449275362319,0.9328146922435556,0.8870298597419174,3510126958,0.7370114999999999,0.8887785,0.8825000000000001,0.8887785,0.8887785,3510126958,2,0.918989023560786,1.0021858,1.6061836,0.8554454,0.7112822,0.7585352,0.9904846,0.865,0.752,2.343,0.868,0,HQ,0.9099222759927366,0.831449275362319,0.9788757985474938
6r2l,0,93.13763335837716,92.69054054054054,95.25128205128206,93.03938775510204,93.04829268292684,96.40522727272725,97.21446808510636,0.866,0.8825000000000001,0.653,0.9821729553533324,0.974976737257672,0.8416417910447761,0.8416417910447762,0.9321427983998946,0.8844089265409875,3510126958,0.73473025,0.88760625,0.8825000000000001,0.88760625,0.88760625,3510126958,0,0.9171165713051704,1.0742148,1.7653813,0.85252374,0.7362565,0.7517185,1.0025871,0.883,0.703,1.978,0.879,0,HQ,0.908275862470441,0.8416417910447762,0.9785748463055022
6r2l,1,93.39752967693464,93.02135135135136,93.07846153846154,93.72510204081632,93.43121951219511,96.79977272727272,97.4204255319149,0.8779999999999999,0.895,0.652,0.9840077789459588,0.9778978512796002,0.8364705882352943,0.8364705882352943,0.937760419036307,0.895240452431725,3510126958,0.7583442499999999,0.89871375,0.895,0.89871375,0.89871375,3510126958,1,0.9269432260874092,0.87511086,1.3499875,0.837261,0.64750016,0.73297143,0.9341837,0.895,0.666,1.494,0.879,1,HQ,0.9165004357340161,0.8364705882352943,0.9809528151127795
6avg,1,92.18758006042296,90.17678571428571,89.18487804878049,84.39603174603174,86.1309375,88.91296296296296,73.72359550561798,0.766,0.755,0.421,0.7067318688493333,0.6933008698680785,0.4953703703703704,0.4953703703703703,0.1149787173955009,0.0851433085763712,3083115345,0.583667,0.7277560000000001,0.755,0.7277560000000001,0.7277560000000001,3083115345,1,0.8852255035234007,1.6405181,2.1720004,3.5124884,0.7290446,0.7333297,4.0156813,0.544,1.97,4.775,0.505,2,MQ,0.10006101298593606,0.49537037037037035,0.7000163693587058
6avg,0,92.44346223564956,90.62964285714284,88.96317073170731,85.89206349206351,88.42625000000001,90.8114814814815,76.87022471910113,0.804,0.8075,0.511,0.8367050059657182,0.8403661235479468,0.403030303030303,0.403030303030303,0.2622087128249826,0.3106250339384871,3083115345,0.6097494999999999,0.79302925,0.8075,0.79302925,0.79302925,3083115345,0,0.8895049640428888,1.2972877,2.074676,1.3039297,0.6163648,1.0357288,3.7488441,0.645,1.628,3.604,0.629,0,MQ,0.2864168733817348,0.403030303030303,0.8385355647568324
6avg,2,92.44732024169184,90.77339285714284,88.9390243902439,85.65428571428572,87.869375,90.00185185185185,76.59,0.79,0.785,0.454,0.8228029224250707,0.7818278011500884,0.5074545454545455,0.5074545454545454,0.2851455396028,0.169816073790881,3083115345,0.59333775,0.7639345,0.785,0.7639345,0.7639345,3083115345,2,0.8857842175620835,1.3341683,1.1692222,3.820829,0.6717433,0.6183515,1.7793247,0.612,1.689,3.574,0.546,1,MQ,0.2274808066968405,0.5074545454545454,0.8023153617875796
6avg,4,92.35575528700906,90.41285714285712,88.59463414634146,85.55936507936505,87.234375,89.79185185185185,76.68955056179774,0.79,0.7825,0.459,0.8149445931067848,0.7770512852029541,0.4903571428571429,0.4903571428571429,0.2723558485280902,0.158003583140716,3083115345,0.600011,0.763764,0.7825,0.763764,0.763764,3083115345,4,0.8878490855377003,1.2787235,1.0215931,3.8253522,0.6111595,0.7672274,1.3665209,0.594,1.685,4.453,0.557,0,MQ,0.2151797158344031,0.4903571428571429,0.7959979391548695
6avg,3,92.25877643504532,89.39928571428572,88.97634146341463,84.46492063492063,87.32093750000001,89.61907407407405,76.8185393258427,0.794,0.785,0.42,0.7963846496699879,0.7740630345742978,0.5009615384615385,0.5009615384615385,0.2518757193211985,0.1421406168457307,3083115345,0.58794175,0.7613989999999999,0.785,0.7613989999999999,0.7613989999999999,3083115345,3,0.886709375604006,1.5106176,1.6908456,3.8121693,0.7279172,1.137221,2.993647,0.582,1.806,4.22,0.536,1,MQ,0.1970081680834646,0.5009615384615385,0.7852238421221429
2jcc,0,89.47791882819652,71.99489795918367,57.18000000000001,74.36885416666667,83.49565217391306,78.20227272727273,81.97755319148936,0.72,0.66,0.303,0.8023085709835049,0.6987750220688632,0.5018,0.5018,0.3658982772058589,0.092639025084514,1894783427,0.367593,0.609587,0.66,0.6014042500000001,0.6014042500000001,1894783427,0,0.7854083820635273,1.7741957,3.2403686,1.0593331,1.0952787,2.0761368,3.4006765,0.559,2.976,3.753,0.638,0,MQ,0.22926865114518644,0.5018,0.750541796526184
2jcc,1,89.71848794629234,74.79836734693878,60.568367346938786,75.78010416666667,84.22456521739132,78.67772727272727,83.0445744680851,0.746,0.705,0.284,0.8194111840942732,0.7185864376886852,0.5189999999999999,0.519,0.4046114605783923,0.1073985441470001,1894783427,0.425825,0.6580925,0.705,0.65632725,0.65632725,1894783427,1,0.8098432432459309,1.7392927,3.2602744,0.85509247,1.0162293,2.1477747,3.3593626,0.509,3.689,4.763,0.623,0,MQ,0.2560050023626962,0.5189999999999999,0.7689988108914791
2jcc,4,89.37062862374123,71.84857142857142,57.90244897959184,73.74020833333334,83.5191304347826,78.03954545454543,81.82063829787235,0.7140000000000001,0.655,0.269,0.7876024372508618,0.7034780633182173,0.5257446808510637,0.5257446808510637,0.3334559785608186,0.0947793994889188,1894783427,0.35427525,0.60290575,0.655,0.59330575,0.59330575,1894783427,4,0.7822553950644199,1.6959951,3.08031,0.98883164,1.064487,2.3831687,3.3632429,0.559,3.163,3.89,0.667,0,MQ,0.2141176890248687,0.5257446808510637,0.7455402502845395
